"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US48201332600","Census Tract 3326, Harris County, Texas","6158","637","2768","734","2039","308","0","127","13","23","0","127","1338","467","0","127","0","127","0","127"
"1400000US48201333901","Census Tract 3339.01, Harris County, Texas","6928","582","2813","691","1540","590","0","127","1401","562","0","127","1009","393","165","125","135","107","30","48"
"1400000US48201251503","Census Tract 2515.03, Harris County, Texas","2229","155","1957","230","45","50","0","127","175","159","0","127","0","127","52","62","0","127","52","62"
"1400000US48201430400","Census Tract 4304, Harris County, Texas","3116","29","2686","128","0","127","0","127","338","135","0","127","28","28","64","58","36","35","28","47"
"1400000US48201432001","Census Tract 4320.01, Harris County, Texas","2805","330","1806","341","358","220","29","44","289","125","0","127","230","158","93","69","28","45","65","58"
"1400000US48201251700","Census Tract 2517, Harris County, Texas","8145","636","7385","627","14","23","73","62","0","127","0","127","551","319","122","108","43","41","79","101"
"1400000US48201310100","Census Tract 3101, Harris County, Texas","4891","640","3109","397","1023","412","2","4","207","301","0","127","516","289","34","37","7","13","27","30"
"1400000US48201412600","Census Tract 4126, Harris County, Texas","3715","257","3096","275","0","127","0","127","366","158","0","127","189","110","64","56","0","127","64","56"
"1400000US48201453900","Census Tract 4539, Harris County, Texas","9287","737","2111","482","2557","664","17","25","3047","446","0","127","1375","477","180","103","84","69","96","71"
"1400000US48201340302","Census Tract 3403.02, Harris County, Texas","7536","325","5941","420","307","174","30","38","974","282","0","127","8","15","276","206","39","62","237","192"
"1400000US48201341000","Census Tract 3410, Harris County, Texas","6972","877","4770","502","1173","766","47","51","559","236","0","127","390","338","33","42","0","127","33","42"
"1400000US48201251502","Census Tract 2515.02, Harris County, Texas","10276","475","9299","380","352","261","0","127","292","189","0","127","301","396","32","41","9","18","23","37"
"1400000US48201253300","Census Tract 2533, Harris County, Texas","3618","324","3046","442","44","75","33","52","26","21","0","127","276","221","193","143","138","135","55","57"
"1400000US48201410701","Census Tract 4107.01, Harris County, Texas","3308","392","2598","376","97","99","10","17","102","64","29","44","367","258","105","70","24","44","81","65"
"1400000US48201452000","Census Tract 4520, Harris County, Texas","6385","626","2445","545","2454","527","29","34","876","385","0","127","568","235","13","21","0","127","13","21"
